Timestamp,Do you shop for fashion items online? ,How often do you search for fashion items online?  ,Look at the image below and select how you would describe it if you were searching for this item online. (1),Look at the image below and select how you would describe it if you were searching for this item online. (2),Look at the image below and select how you would describe it if you were searching for this item online. (1),Look at the image below and select how you would describe it if you were searching for this item online. (2),"When you search for fashion items online, how do you typically describe what you're looking for?  (e.g., ""Goa trip outfits,"" ""floral half sleeve relaxed fit"")  ",Do you find it challenging to find fashion items that match the vibe or aesthetic you have in mind on popular online fashion websites?  ,How do you typically describe the fashion items you're searching for? (Choose the option that best applies)  
6/26/2024 17:24:55,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,"by the specific occasion/purpose/vibe of the dress, along with certain requirements like fitting, style etc",Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 17:39:09,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Party wear dresses ,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 17:50:25,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,Depends
6/26/2024 18:12:40,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,Depends
6/26/2024 18:15:18,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Black Jacket,"Floral,party wear",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:25:28,Yes,Daily,Partywear,Floral Printed Square Neck A-Line Midi Dress,Western Shirts,Black Jacket,"Festive wear,party wear, formal wear",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:26:00,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Checked Ombre Printed Mock Collar Bomber Jacket,Tshirts casual,No,Depends
6/26/2024 18:27:41,No,Never,Partywear,Casual Dresses,Western Shirts,Black Jacket,,Yes,Depends
6/26/2024 18:33:13,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 18:36:18,Yes,Weekly,Partywear,Floral Printed Square Neck A-Line Midi Dress,Western Shirts,Black Jacket,Beach outfits,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:36:39,Yes,Weekly,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 18:37:13,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,Zara denim jackets,No,Depends
6/26/2024 18:38:03,Yes,During occasions,Partywear,Casual Dresses,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 18:41:02,Yes,Weekly,Partywear,Casual Dresses,Western Shirts,Black Jacket,Maxi dresses,Maybe,Depends
6/26/2024 18:41:03,Yes,Weekly,Partywear,Casual Dresses,Western Shirts,Black Jacket,Casual wear,Maybe,Depends
6/26/2024 18:50:22,Yes,Daily,Partywear,Floral Printed Square Neck A-Line Midi Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,Goa outfits ,Maybe,Depends
6/26/2024 18:52:26,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Western outfits,Maybe,Depends
6/26/2024 18:56:21,Yes,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,,No,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:02:05,Yes,Weekly,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,Floral tops or crop tops,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:13:38,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:29:33,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Frocks with full sleeves ,Yes,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 19:30:44,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Black Jacket,,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/26/2024 20:00:42,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,,Yes,Depends
6/26/2024 20:07:36,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,high waist wide leg jeans,Maybe,Depends
6/26/2024 20:10:24,Yes,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Maybe,Depends
6/26/2024 20:10:52,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Black Jacket,Dresses jeans tops,Yes,Depends
6/26/2024 20:19:49,Yes,During occasions,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Very often,Yes,Depends
6/26/2024 20:22:32,Yes,Daily,Gold Partywear Bodycon,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Monochrome Black Jacket,,No,Depends
6/26/2024 20:23:47,No,During occasions,Partywear,Casual Dresses,Brown Minimalist Men Wear,Black Jacket,Casual outfits,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/26/2024 23:40:08,Yes,Weekly,Partywear,Casual Dresses,Western Shirts,Black Jacket,Single piece  frocks ,Yes,Depends
6/27/2024 8:23:43,Yes,Daily,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,Goa trip outfits ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 11:12:45,Yes,Daily,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Puffed sleeves white crop top,Maybe,Depends
6/27/2024 11:16:22,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/27/2024 11:16:31,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Western Shirts,Black Jacket,,Yes,Depends
6/27/2024 11:22:38,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,,No,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 11:23:49,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Floral A-line dress ,Maybe,Depends
6/27/2024 11:25:37,No,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Cute bodycon outfits for birthdays ,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/27/2024 11:28:47,Yes,Weekly,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,High straight leg jeans ,Maybe,"By specific details of tailoring or fit (e.g., ""tight fit white long dress,"" ""flowy bib collar light green dress"")"
6/27/2024 11:45:00,No,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Monochrome Black Jacket,High neck sleeve t-shirt ,Yes,Depends
6/27/2024 11:49:13,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Black Jacket,,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 11:58:42,Yes,During occasions,Gold Partywear Bodycon,Casual Dresses,Western Shirts,Black Jacket,I would search with the preferred categories.,No,Depends
6/27/2024 12:04:47,Yes,During occasions,Gold Partywear Bodycon,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,floral print dresses ,Yes,Depends
6/27/2024 12:11:41,Yes,During occasions,Gold Partywear Bodycon,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,,Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:13:00,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Men Standard Corduroy Cotton Shirt,Checked Ombre Printed Mock Collar Bomber Jacket,"Mostly with neck & sleeve patterns ..like square,flower ..",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:28:05,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Floral Printed Square Neck A-Line Midi Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,"Mini dresses , angrakha dresses",Yes,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:30:28,Yes,Daily,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Western Shirts,Monochrome Black Jacket,,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:34:22,Yes,Weekly,Gold-Toned Embellished Sequined Bodycon Dress,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,,Yes,Depends
6/27/2024 12:36:21,Yes,Daily,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Black Jacket,Floral dressess ,Maybe,"By its vibe or aesthetic (e.g., ""minimalist dress,"" ""chic outfit,"" ""romantic dress,"" ""picnic dress"")"
6/27/2024 12:49:56,Yes,Weekly,Gold Partywear Bodycon,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,I black body con mini slit wear,Maybe,Depends
6/27/2024 13:03:28,Yes,During occasions,Partywear,Pastel Blue Floral Dress,Brown Minimalist Men Wear,Monochrome Black Jacket,Linen Shirts,Yes,Depends
